question_id,category,subcategory,question,options_json,answer,contexts_json
779,task_coordination,multi_span,"In meal preparation, what tasks were handled by participants regarding arranging boxes, unpacking bags, distributing bowls, and planning sharing in different events?","[""Meal preparation included Jake arranging boxes, Lucia unpacking and organizing sides, Katrina distributing bowls, and Shure planning sharing."", ""Meal preparation included Alice arranging boxes, Lucia unpacking and organizing sides, Tasha distributing bowls, and Alice planning sharing."", ""Meal preparation included Jake arranging boxes, Tasha and Shure unpacking and organizing sides, Katrina distributing bowls, and Alice planning sharing."", ""Meal preparation included Jake arranging boxes, Tasha and Shure unpacking and organizing sides, Tasha distributing bowls, and Shure planning sharing."", ""Meal preparation included Alice arranging boxes, Tasha and Shure unpacking and organizing sides, Katrina distributing bowls, and Alice planning sharing.""]","Meal preparation included Alice arranging boxes, Tasha and Shure unpacking and organizing sides, Katrina distributing bowls, and Alice planning sharing.","{""DAY4_13050000_13100000"": [""SHURE"", ""JAKE"", ""ALICE"", ""KATRINA"", ""TASHA""], ""DAY4_18400000_18450000"": [""JAKE"", ""SHURE"", ""LUCIA"", ""ALICE"", ""TASHA""], ""DAY5_12050000_12100000"": [""LUCIA"", ""ALICE"", ""TASHA"", ""JAKE"", ""KATRINA"", ""SHURE""], ""DAY7_12050000_12100000"": [""TASHA"", ""ALICE"", ""JAKE"", ""KATRINA"", ""SHURE""]}"
780,task_coordination,multi_span,"In the delivery task, who coordinated unpacking and organizing, and who later managed packing in a different event?","[""Alice coordinated unpacking and organizing, and later Lucia managed packing the delivery."", ""Lucia and Katrina coordinated unpacking and organizing, and later on Jake managed packing the delivery."", ""Alice coordinated unpacking and organizing, and later Jake managed packing the delivery."", ""Lucia and Katrina coordinated unpacking and organizing, and later Jake managed packing the delivery."", ""Lucia and Katrina coordinated unpacking and organizing, and later Lucia managed packing the delivery.""]","Lucia and Katrina coordinated unpacking and organizing, and later Lucia managed packing the delivery.","{""DAY4_16150000_16200000"": [""LUCIA"", ""SHURE"", ""TASHA"", ""KATRINA"", ""JAKE""], ""DAY5_22150000_22200000"": [""JAKE"", ""TASHA""]}"
781,task_coordination,multi_span,"In the guitar practice events, what instructional actions and coordination did the mentor provide in different events?","[""The mentor showed chord hand placements and basics, then set a page-by-page mastery plan for practice."", ""The mentor showed proper chord hand placements and the basics, then set a time-based daily practice without page goals."", ""The mentor showed chord hand placements and basics, then set a time-based daily practice without page goals."", ""The mentor demonstrated strumming patterns and tuning, then set a time-based daily practice without page goals."", ""The mentor demonstrated strumming patterns and tuning, then set a page-by-page mastery plan for practice.""]","The mentor showed chord hand placements and basics, then set a page-by-page mastery plan for practice.","{""DAY4_17250000_17300000"": [""SHURE"", ""TASHA"", ""LUCIA"", ""JAKE"", ""KATRINA""], ""DAY4_17300000_17350000"": [""SHURE"", ""TASHA"", ""LUCIA"", ""JAKE"", ""KATRINA""]}"
782,task_coordination,multi_span,"In meal preparation, what specific tasks did Tasha perform in different events?","[""She set the table and poured drinks, coordinated unpacking and organizing side dishes with a partner, and prepared food in the oven while another cleaned."", ""She cleaned the kitchen and plates, coordinated packing leftovers and labeling containers with a partner, and microwaved food while another served."", ""She set the table and poured drinks, coordinated packing leftovers and labeling containers with a partner, and microwaved food while another served."", ""She cleaned the kitchen and plates, coordinated unpacking and organizing side dishes with a partner, and prepared food in the oven while another cleaned."", ""She cleaned the kitchen and plates, coordinated unpacking and organizing side dishes with a partner, and microwaved food while another served.""]","She cleaned the kitchen and plates, coordinated unpacking and organizing side dishes with a partner, and prepared food in the oven while another cleaned.","{""DAY4_17500000_17550000"": [""SHURE"", ""TASHA"", ""LUCIA"", ""JAKE""], ""DAY4_18400000_18450000"": [""JAKE"", ""SHURE"", ""LUCIA"", ""ALICE"", ""TASHA""], ""DAY5_19550000_20000000"": [""KATRINA"", ""SHURE"", ""JAKE"", ""LUCIA"", ""ALICE""]}"
783,task_coordination,multi_span,"In music-related coordination, how did Shure support group engagement in different events?","[""He used jokes to encourage laughter and provided musical distractions with humor."", ""He used music to encourage singing together and provided logistical updates with seriousness."", ""He used music to encourage singing and provided logistical updates with seriousness."", ""He used music to encourage singing and provided musical distractions with humor."", ""He used jokes to encourage laughter and provided logistical updates with seriousness.""]",He used music to encourage singing and provided musical distractions with humor.,"{""DAY2_21550000_22000000"": [""TASHA"", ""JAKE"", ""LUCIA"", ""KATRINA"", ""ALICE"", ""SHURE""], ""DAY4_20400000_20450000"": [""ALICE"", ""JAKE"", ""KATRINA"", ""SHURE""]}"
784,task_coordination,multi_span,"In meal preparation, what utensil and plate distribution tasks did participants handle in different events?","[""Alice mixed batter and managed plates and utensils; Jake placed spoons; Katrina distributed plates and chopsticks."", ""Tasha washed vegetables and managed napkins and cups; Lucia placed chopsticks; Shure distributed bowls and forks."", ""Alice mixed batter and managed plates and utensils; Jake placed spoons; Shure distributed bowls and forks."", ""Tasha washed vegetables and managed napkins and cups; Jake placed spoons; Katrina distributed plates and chopsticks."", ""Alice mixed batter and managed plates and utensils; Lucia placed chopsticks; Katrina distributed plates and chopsticks.""]",Alice mixed batter and managed plates and utensils; Lucia placed chopsticks; Katrina distributed plates and chopsticks.,"{""DAY2_10450000_10500000"": [""KATRINA"", ""TASHA"", ""LUCIA"", ""ALICE"", ""JAKE""], ""DAY2_11000000_11050000"": [""JAKE"", ""KATRINA"", ""TASHA"", ""ALICE"", ""LUCIA""], ""DAY5_12050000_12100000"": [""LUCIA"", ""ALICE"", ""TASHA"", ""JAKE"", ""KATRINA"", ""SHURE""], ""DAY7_12000000_12050000"": [""TASHA"", ""ALICE"", ""JAKE"", ""KATRINA"", ""SHURE""]}"
785,task_coordination,multi_span,"In different events, how did involvement in the kitchen task differ between the observer eating and the observer quietly watching?","[""Both showed passive involvement in the kitchen task: Jake ate sunflower seeds with occasional comments, while Tasha quietly watched without participating."", ""Both showed passive involvement in the kitchen task: Alice ate sunflower seeds with occasional comments, while Lucia quietly watched without participating."", ""Both showed passive involvement in the kitchen task: Alice ate sunflower seeds with occasional comments, while Tasha quietly watched without participating."", ""Both showed passive involvement in the kitchen task: Alice ate sunflower seeds while occasionally commenting, while Lucia quietly watched without participating."", ""Both showed passive involvement in the kitchen task: Jake ate sunflower seeds with occasional comments, while Lucia quietly watched without participating.""]","Both showed passive involvement in the kitchen task: Alice ate sunflower seeds with occasional comments, while Tasha quietly watched without participating.","{""DAY5_18150000_18200000"": [""ALICE"", ""LUCIA"", ""TASHA"", ""JAKE""], ""DAY5_22100000_22150000"": [""JAKE"", ""TASHA""]}"
786,task_coordination,multi_span,"In the flower task, what guidance did Katrina provide in different events?","[""She prepared petals, offered scissors and cutting advice, gave clear instructions on layering, and coached Shure to press sideways in the flower task."", ""She arranged stems, offered scissors and cutting advice, gave casual suggestions without focusing on layering, and coached Alice to press straight down in the flower task."", ""She prepared petals, offered glue and taping advice, gave casual suggestions without focusing on layering, and coached Shure to press sideways in the flower task."", ""She prepared petals, offered glue and taping advice, gave clear instructions on layering, and coached Shure to press sideways in the flower task."", ""She arranged stems, offered glue and taping advice, gave clear instructions on layering, and coached Alice to press straight down in the flower task.""]","She prepared petals, offered scissors and cutting advice, gave clear instructions on layering, and coached Shure to press sideways in the flower task.","{""DAY4_12300000_12350000"": [""KATRINA"", ""ALICE"", ""JAKE"", ""SHURE"", ""TASHA"", ""LUCIA""], ""DAY4_12400000_12450000"": [""KATRINA"", ""ALICE"", ""JAKE"", ""SHURE"", ""TASHA"", ""LUCIA""], ""DAY4_16000000_16050000"": [""LUCIA"", ""SHURE"", ""TASHA"", ""KATRINA"", ""JAKE""], ""DAY4_16200000_16250000"": [""LUCIA"", ""SHURE"", ""TASHA"", ""KATRINA"", ""JAKE""]}"
787,task_coordination,multi_span,"In the packing and tidying activities, what specific cleaning tasks did participants perform in each event involving room cleanup?","[""They handed packages during cleaning, removed wall decorations in Tasha’s room, and tore down wall decorations while tidying scarves in Alice’s space."", ""They handed packages during cleaning, removed wall decorations in Katrina’s room, and tore down wall decorations while tidying scarves in Alice’s space."", ""They handed packages during cleaning, removed wall decorations in Tasha’s room, and tore down wall decorations while tidying scarves in Lucia’s space."", ""They sorted clothes during cleaning, removed wall decorations in Tasha’s room, and tore down wall decorations while tidying scarves in Lucia’s space."", ""They sorted clothes during cleaning, removed wall decorations in Katrina’s room, and tore down wall decorations while tidying scarves in Alice’s space.""]","They handed packages during cleaning, removed wall decorations in Tasha’s room, and tore down wall decorations while tidying scarves in Lucia’s space.","{""DAY6_12050000_12100000"": [""ALICE"", ""LUCIA"", ""JAKE"", ""SHURE"", ""TASHA""], ""DAY7_18300000_18350000"": [""KATRINA"", ""ALICE"", ""TASHA"", ""JAKE"", ""LUCIA""], ""DAY7_18350000_18400000"": [""ALICE"", ""JAKE"", ""LUCIA""]}"
788,task_coordination,multi_span,"In the curtain task, what specific actions were performed in different events?","[""Lucia pressed tape and smoothed curtains, while Katrina tied knots and located tape during arrangement with Katrina."", ""Alice pressed tape and smoothed curtains, while Katrina tied knots and located tape during arrangement with Katrina."", ""Alice pressed tape and smoothed curtains, while Tasha tied knots and located tape during arrangement with Jake."", ""Lucia pressed tape and smoothed curtains, while Tasha tied knots and located tape during arrangement with Jake."", ""Alice pressed tape and smoothed curtains, while Katrina tied knots and located tape during arrangement with Katrina.""]","Alice pressed tape and smoothed curtains, while Tasha tied knots and located tape during arrangement with Jake.","{""DAY6_11550000_12000000"": [""LUCIA"", ""JAKE"", ""ALICE"", ""SHURE"", ""TASHA""], ""DAY6_12500000_12550000"": [""ALICE"", ""LUCIA"", ""JAKE"", ""SHURE""]}"
789,task_coordination,multi_span,"In the auction task coordination, what roles did participants play in different events?","[""Tasha and Jake lightened mood with jokes, while Katrina prepared items and explained their background."", ""Tasha and Alice lightened mood with jokes, while Katrina prepared items and explained their background."", ""Shure and Alice lightened mood with jokes, while Lucia prepared items and explained their background."", ""Shure and Alice lightened mood with jokes, while Katrina prepared items and explained their background."", ""Shure and Jake lightened mood with jokes, while Katrina prepared items and explained their background.""]","Tasha and Alice lightened mood with jokes, while Katrina prepared items and explained their background.","{""DAY6_16400000_16450000"": [""LUCIA"", ""TASHA"", ""SHURE"", ""JAKE"", ""ALICE"", ""KATRINA""], ""DAY6_16450000_16500000"": [""LUCIA"", ""TASHA"", ""SHURE"", ""JAKE"", ""ALICE""], ""DAY6_17250000_17300000"": [""JAKE"", ""LUCIA"", ""SHURE"", ""TASHA"", ""ALICE""]}"
790,task_coordination,multi_span,"In task coordination, what assistance did Violet provide in different events?","[""She followed instructions to clean and organize, and later assisted Lucia by bringing glasses during an item search."", ""She followed instructions to clean and organize, and later assisted Alice by bringing plates during an item search."", ""She observed without helping to clean or organize, and later assisted Lucia by bringing glasses during an item search."", ""She observed without helping to clean or organize, and later assisted Alice by bringing plates during an item search."", ""She followed directions to clean and organize, and later assisted Alice by bringing plates during an item search.""]","She followed instructions to clean and organize, and later assisted Lucia by bringing glasses during an item search.","{""DAY6_12200000_12250000"": [""ALICE"", ""LUCIA"", ""JAKE"", ""SHURE"", ""TASHA""], ""DAY6_13200000_13250000"": [""KATRINA"", ""TASHA"", ""LUCIA"", ""JAKE""]}"
791,task_coordination,multi_span,"In the shared task, what room organization actions did participants undertake in different events?","[""Tasha organized and decorated her room while Lucia tidied her room and dismantled items."", ""Tasha organized and decorated her room while Jake tidied his room and dismantled items."", ""Tasha organized and decorated her room while Jake tidied his room and dismantled items."", ""Alice organized and decorated her room while Jake tidied his room and dismantled items."", ""Alice organized and decorated her room while Lucia tidied her room and dismantled items.""]",Tasha organized and decorated her room while Lucia tidied her room and dismantled items.,"{""DAY6_12200000_12250000"": [""ALICE"", ""LUCIA"", ""JAKE"", ""SHURE"", ""TASHA""], ""DAY7_15550000_16000000"": [""LUCIA""]}"
792,task_coordination,multi_span,"In different events, what organizing task did each participant handle while others were occupied?","[""Tasha prioritized organizing her room with boxes, and Katrina focused on organizing sofas and stools."", ""Alice prioritized organizing the kitchen pantry, and Katrina focused on organizing sofas and stools."", ""Tasha prioritized organizing her room with boxes, and Jake focused on organizing tables and chairs."", ""Alice prioritized organizing the kitchen pantry, and Jake focused on organizing tables and chairs."", ""Tasha prioritized organizing her room by arranging boxes, and Jake focused on organizing tables and chairs.""]","Tasha prioritized organizing her room with boxes, and Katrina focused on organizing sofas and stools.","{""DAY6_12250000_12300000"": [""ALICE"", ""LUCIA"", ""JAKE"", ""SHURE"", ""TASHA""], ""DAY7_13550000_14000000"": [""LUCIA"", ""TASHA"", ""KATRINA"", ""SHURE"", ""ALICE"", ""JAKE""]}"
793,task_coordination,multi_span,"In different events, who handled utensils coordination and who handled utensils coordination with supplies management?","[""Tasha coordinated utensils with supplies by unpacking bowls, rice, and chopsticks, while Katrina coordinated utensils by opening and placing them for everyone."", ""Alice coordinated utensils with supplies by unpacking bowls, rice, and chopsticks, while Katrina coordinated utensils by opening and placing them for everyone."", ""Tasha coordinated utensils with supplies by unpacking bowls, rice, and chopsticks, while Lucia coordinated utensils by opening and placing them for everyone."", ""Alice coordinated utensils with supplies by unpacking bowls, rice, and chopsticks, while Lucia coordinated utensils by opening and placing them for everyone."", ""Alice coordinated utensils with supplies by unpacking rice, bowls, and chopsticks, while Lucia coordinated utensils by opening and placing them for everyone.""]","Alice coordinated utensils with supplies by unpacking bowls, rice, and chopsticks, while Katrina coordinated utensils by opening and placing them for everyone.","{""DAY6_13150000_13200000"": [""TASHA"", ""LUCIA"", ""JAKE"", ""ALICE"", ""SHURE""], ""DAY6_13200000_13250000"": [""KATRINA"", ""TASHA"", ""LUCIA"", ""JAKE""]}"
794,task_coordination,multi_span,"What happened in the watermelon activity in different events, including assistance, guidance, and collaboration?","[""She opened the refrigerator, he did not guide her and she worked on her own, and she handled it confidently while another participant stayed quiet and watched during watermelon cutting."", ""She closed the refrigerator, he guided her step by step, and she handled it confidently while another participant stayed quiet and watched during watermelon cutting."", ""She opened the refrigerator, he guided her step by step, and she struggled while another participant joked and ate during watermelon cutting."", ""She closed the refrigerator, he guided her step by step, and she struggled while another participant joked and ate during watermelon cutting."", ""She closed the refrigerator, he did not guide her and she worked on her own, and she handled it confidently while another participant stayed quiet and watched during watermelon cutting.""]","She closed the refrigerator, he guided her step by step, and she struggled while another participant joked and ate during watermelon cutting.","{""DAY7_17200000_17250000"": [""SHURE"", ""TASHA""], ""DAY7_17250000_17300000"": [""SHURE"", ""TASHA""], ""DAY7_17300000_17350000"": [""SHURE"", ""KATRINA"", ""TASHA""]}"
795,task_coordination,multi_span,"In dinner planning and dinner preparation, what roles did participants take in influencing food choices and assessing suitability in different events?","[""Tasha shaped dinner options with her preferences, while Alice assessed suitability by visual inspection and cross-checking suggestions."", ""Tasha shaped dinner options with her preferences, while Jake assessed suitability by visual inspection and cross-checking suggestions."", ""Jake shaped dinner options with his preferences, while Jake assessed suitability by visual inspection and cross-checking suggestions."", ""Jake shaped dinner options with his preferences, while Alice assessed suitability by visual inspection and cross-checking suggestions."", ""Jake shaped dinner options with his preferences, while Alice assessed suitability by visual inspection and cross-checking suggestions.""]","Tasha shaped dinner options with her preferences, while Alice assessed suitability by visual inspection and cross-checking suggestions.","{""DAY7_17250000_17300000"": [""SHURE"", ""TASHA""], ""DAY7_18550000_19000000"": [""ALICE"", ""JAKE"", ""LUCIA""]}"
796,task_coordination,multi_span,"In the shopping bags task, what did each participant do in different events?","[""Jake inspected and teamed up, Tasha took items from others, and Lucia carried a bag and organized items."", ""Jake inspected and teamed up, Tasha took items from others, and Shure carried a bag and organized items."", ""Katrina inspected and teamed up, Tasha took items from others, and Shure carried a bag and organized items."", ""Jake inspected and teamed up, Alice took items from others, and Shure carried a bag and organized items."", ""Katrina inspected and teamed up, Alice took items from others, and Lucia carried a bag and organized items.""]","Katrina inspected and teamed up, Alice took items from others, and Lucia carried a bag and organized items.","{""DAY1_19000000_19050000"": [""KATRINA"", ""ALICE"", ""LUCIA"", ""JAKE"", ""TASHA""], ""DAY1_19050000_19100000"": [""KATRINA"", ""ALICE"", ""LUCIA"", ""JAKE"", ""TASHA""], ""DAY3_17250000_17300000"": [""TASHA"", ""LUCIA"", ""SHURE"", ""KATRINA"", ""ALICE"", ""JAKE""]}"
797,task_coordination,multi_span,"In the dessert preparation work, what cleaning and organizing tasks did participants handle in different events?","[""Lucia cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Katrina cleaned tools like whisks and containers while discussing instructions."", ""Jake cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Tasha cleaned tools like whisks and containers while discussing instructions."", ""Jake cleaned trays and organized equipment, Alice cleaned utensils and sorted tools, and Katrina cleaned tools like whisks and containers while discussing instructions."", ""Lucia cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Tasha cleaned tools like whisks and containers while discussing instructions."", ""Lucia cleaned trays and organized equipment, Alice cleaned utensils and sorted tools, and Katrina cleaned tools like whisks and containers while discussing instructions.""]","Lucia cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Tasha cleaned tools like whisks and containers while discussing instructions.","{""DAY1_20100000_20150000"": [""JAKE"", ""KATRINA"", ""TASHA"", ""LUCIA"", ""ALICE""], ""DAY3_21300000_21350000"": [""LUCIA"", ""KATRINA"", ""JAKE"", ""ALICE"", ""SHURE""], ""DAY5_18450000_18500000"": [""ALICE"", ""LUCIA"", ""TASHA"", ""JAKE"", ""SHURE"", ""KATRINA""]}"
798,task_coordination,multi_span,"In the kitchen preparation events, what cleaning tasks did participants handle in different events?","[""Lucia cleaned trays and organized equipment, Jake cleaned utensils and sorted tools, and Katrina wiped equipment like egg beaters and containers."", ""Lucia cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Tasha wiped equipment like egg beaters and containers."", ""Lucia cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Katrina wiped equipment like egg beaters and containers."", ""Alice cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Katrina wiped equipment like egg beaters and containers."", ""Alice cleaned trays and organized equipment, Jake cleaned utensils and sorted tools, and Tasha wiped equipment like egg beaters and containers.""]","Lucia cleaned trays and organized equipment, Shure cleaned utensils and sorted tools, and Tasha wiped equipment like egg beaters and containers.","{""DAY1_20100000_20150000"": [""JAKE"", ""KATRINA"", ""TASHA"", ""LUCIA"", ""ALICE""], ""DAY3_21300000_21350000"": [""LUCIA"", ""KATRINA"", ""JAKE"", ""ALICE"", ""SHURE""], ""DAY5_18450000_18500000"": [""ALICE"", ""LUCIA"", ""TASHA"", ""JAKE"", ""SHURE"", ""KATRINA""]}"
799,task_coordination,multi_span,"In the cleanup tasks, what responsibilities of Lucia were handled in different events?","[""She kept sturdy boxes for reuse, supplied a trash bag to the kitchen, and coordinated by flattening boxes and directing others to recycling bins."", ""She kept sturdy boxes for reuse, supplied a trash bag to the living room, and coordinated by flattening boxes and directing others to recycling bins."", ""She kept sturdy boxes for reuse, supplied a trash bag to the kitchen, and coordinated by stacking boxes and directing others to trash bags."", ""She broke down the boxes for recycling, supplied a trash bag to the kitchen, and coordinated by stacking boxes and directing others to trash bags."", ""She broke down the boxes for recycling, supplied a trash bag to the living room, and coordinated by flattening boxes and directing others to recycling bins.""]","She kept sturdy boxes for reuse, supplied a trash bag to the kitchen, and coordinated by stacking boxes and directing others to trash bags.","{""DAY2_17100000_17150000"": [""JAKE"", ""TASHA"", ""SHURE"", ""ALICE""], ""DAY2_21100000_21150000"": [""TASHA"", ""JAKE"", ""LUCIA"", ""KATRINA"", ""ALICE"", ""SHURE""], ""DAY3_12100000_12150000"": [""LUCIA"", ""TASHA"", ""JAKE"", ""ALICE"", ""KATRINA"", ""SHURE""]}"
800,task_coordination,multi_span,"In different events, how was the yogurt task coordinated and organized among participants?","[""Katrina portioned yogurt without honey into 150g servings, while Jake and Tasha coordinated by clinking yogurt glasses and discussing."", ""Alice and Lucia portioned yogurt with honey into 200g servings, while Jake and Tasha coordinated by clinking yogurt glasses and discussing."", ""Katrina portioned yogurt without honey into 150g servings, while Jake and Tasha coordinated by discussing and clinking yogurt glasses."", ""Katrina portioned yogurt without honey into 150g servings, while Shure coordinated by quietly observing without clinking glasses."", ""Alice and Lucia portioned yogurt with honey into 200g servings, while Shure coordinated by quietly observing without clinking glasses.""]","Alice and Lucia portioned yogurt with honey into 200g servings, while Jake and Tasha coordinated by clinking yogurt glasses and discussing.","{""DAY3_17000000_17050000"": [""TASHA"", ""LUCIA"", ""SHURE"", ""KATRINA"", ""ALICE"", ""JAKE""], ""DAY6_11450000_11500000"": [""JAKE"", ""ALICE"", ""SHURE"", ""TASHA""]}"
801,task_coordination,multi_span,"What decisions were made about mango placement in the cake across the planning, second-layer choice, and final-layer choice?","[""They planned diverse layers, placed mango in the second layer per Tasha’s plan, then scattered mango across the final layer for convenience."", ""They planned uniform layers, placed mango in the first layer per Alice’s plan, then scattered mango across the final layer for convenience."", ""They planned uniform layers, placed mango in the first layer per Alice’s plan, then concentrated all mango in the final layer for aesthetics."", ""They planned diverse layers, placed mango in the second layer per Tasha’s plan, then concentrated all mango in the final layer for aesthetics."", ""They planned uniform layers, placed mango in the second layer per Tasha’s plan, then scattered mango across the final layer for convenience.""]","They planned diverse layers, placed mango in the second layer per Tasha’s plan, then concentrated all mango in the final layer for aesthetics.","{""DAY3_20400000_20450000"": [""LUCIA"", ""TASHA"", ""KATRINA"", ""ALICE"", ""JAKE"", ""SHURE""], ""DAY3_21300000_21350000"": [""LUCIA"", ""KATRINA"", ""JAKE"", ""ALICE"", ""SHURE""], ""DAY3_21550000_22000000"": [""LUCIA"", ""KATRINA"", ""JAKE"", ""ALICE"", ""SHURE""]}"
802,task_coordination,multi_span,"In kitchen preparations, what tasks did participants handle regarding utensils and containers in different events?","[""Shure cleaned pots and spatulas, Katrina restocked chopsticks and cups, and Tasha maintained clean containers and tools."", ""Jake cleaned pots and spatulas, Alice restocked chopsticks and cups, and Tasha maintained clean containers and tools."", ""Jake cleaned pots and spatulas, Katrina restocked chopsticks and cups, and Tasha maintained clean containers and tools."", ""Jake cleaned pots and spatulas, Katrina restocked chopsticks and cups, and Lucia maintained clean containers and tools."", ""Shure cleaned pots and spatulas, Katrina restocked chopsticks and cups, and Lucia maintained clean containers and tools.""]","Shure cleaned pots and spatulas, Katrina restocked chopsticks and cups, and Tasha maintained clean containers and tools.","{""DAY2_16300000_16350000"": [""KATRINA"", ""JAKE"", ""SHURE"", ""ALICE"", ""TASHA"", ""LUCIA""], ""DAY3_21050000_21100000"": [""TASHA"", ""LUCIA"", ""KATRINA"", ""JAKE"", ""ALICE"", ""SHURE""], ""DAY5_19050000_19100000"": [""KATRINA"", ""TASHA"", ""SHURE"", ""JAKE"", ""LUCIA"", ""ALICE""]}"
803,task_coordination,multi_span,What cleaning steps were taken to support cooking in different events?,"[""Cleaning included rinsing bowls and a pot, plus sanitizing counters and mopping floors to support cooking."", ""Cleaning included washing cups and a pan, plus scrubbing dishes and wiping spills to support cooking."", ""Cleaning included washing cups and a pan plus sanitizing counters and mopping floors to support cooking."", ""Cleaning included washing cups and a pan, plus sanitizing counters and mopping floors to support cooking."", ""Cleaning included rinsing bowls and a pot, plus scrubbing dishes and wiping spills to support cooking.""]","Cleaning included washing cups and a pan, plus scrubbing dishes and wiping spills to support cooking.","{""DAY4_11050000_11100000"": [""SHURE"", ""KATRINA"", ""ALICE"", ""JAKE""], ""DAY4_11100000_11150000"": [""SHURE"", ""TASHA"", ""KATRINA"", ""ALICE"", ""JAKE""]}"
804,task_coordination,multi_span,"In the preparation activities, what distinct preparation roles did each participant take in the kitchen event and the pre-arrival setup event?","[""Alice offered help and checked the refrigerator while Alice prepared food, and Shure later focused on tidying the table."", ""Katrina offered help and checked the fridge while Shure prepared food, and Jake later focused on tidying the table."", ""Katrina offered help and checked the refrigerator while Shure prepared food, and Jake later focused on tidying the table."", ""Alice offered help and checked the refrigerator while Alice prepared food, and Jake later focused on tidying the table."", ""Katrina offered help and checked the refrigerator while Shure prepared food, and Shure later focused on tidying the table.""]","Katrina offered help and checked the refrigerator while Shure prepared food, and Shure later focused on tidying the table.","{""DAY3_19300000_19350000"": [""KATRINA"", ""SHURE"", ""JAKE""], ""DAY7_11250000_11300000"": [""SHURE""]}"
805,task_coordination,multi_span,What hygiene action and cleanliness task were carried out during meal preparation and how did they support hygiene?,"[""Lucia washed her hands after returning, and Tasha wiped dishes and directed placement to keep hygiene."", ""Alice washed her hands after returning, and Tasha wiped dishes and directed placement to keep hygiene."", ""Lucia washed her hands after returning, and Jake wiped dishes and directed placement to keep hygiene."", ""Alice washed her hands after returning, and Jake wiped dishes and directed placement to keep hygiene."", ""Lucia washed her hands right after returning, and Jake wiped dishes and directed placement to keep hygiene.""]","Lucia washed her hands after returning, and Tasha wiped dishes and directed placement to keep hygiene.","{""DAY3_20450000_20500000"": [""LUCIA"", ""TASHA"", ""KATRINA"", ""ALICE"", ""JAKE"", ""SHURE""], ""DAY4_21500000_21550000"": [""TASHA"", ""SHURE"", ""LUCIA"", ""KATRINA"", ""ALICE"", ""JAKE""]}"
806,task_coordination,multi_span,"In the barbecue preparation, what did each participant handle in different events?","[""Katrina earlier seasoned the grill area, while Tasha later flipped wings and managed the barbecue grill."", ""Jake seasoned the grill area earlier, while Alice later flipped wings and managed the barbecue grill."", ""Katrina seasoned the grill area earlier, while Tasha later flipped wings and managed the barbecue grill."", ""Jake seasoned the grill area earlier, while Tasha later flipped wings and managed the barbecue grill."", ""Katrina seasoned the grill area earlier, while Alice later flipped wings and managed the barbecue grill.""]","Katrina seasoned the grill area earlier, while Alice later flipped wings and managed the barbecue grill.","{""DAY3_21000000_21050000"": [""TASHA"", ""LUCIA"", ""KATRINA"", ""JAKE"", ""ALICE"", ""SHURE""], ""DAY3_22000000_22050000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""SHURE"", ""KATRINA""]}"
807,task_coordination,multi_span,"In meal planning, what planning input did each participant provide in different events?","[""Shure provided a detailed list of possible meal options, while Tasha suggested tacos and did not check for other suggestions."", ""Alice gave a quick approval without offering options, while Jake proposed wontons and confirmed no other suggestions."", ""Alice gave a quick approval without offering options, while Tasha suggested tacos and did not check for other suggestions."", ""Shure offered a detailed menu of meal options, while Tasha suggested tacos and did not check for other suggestions."", ""Shure offered a detailed menu of meal options, while Jake proposed wontons and confirmed no other suggestions.""]","Shure offered a detailed menu of meal options, while Jake proposed wontons and confirmed no other suggestions.","{""DAY1_13350000_13400000"": [""LUCIA"", ""KATRINA"", ""ALICE"", ""TASHA"", ""SHURE"", ""JAKE""], ""DAY7_18050000_18100000"": [""KATRINA"", ""ALICE"", ""TASHA"", ""JAKE"", ""LUCIA""]}"
808,task_coordination,multi_span,"During meal prep, who demonstrated multitasking?","[""Shure multitasked by frying eggs and coordinating laundry; Jake multitasked by organizing food and talking with others."", ""Shure multitasked by frying eggs and coordinating laundry; Tasha multitasked by organizing food and talking with others."", ""Shure multitasked by frying eggs and coordinating laundry; Tasha multitasked by organizing food and talking with others."", ""Alice multitasked by frying eggs and coordinating laundry; Tasha multitasked by organizing food and talking with others."", ""Alice multitasked by frying eggs and coordinating laundry; Jake multitasked by organizing food and talking with others.""]",Shure multitasked by frying eggs and coordinating laundry; Jake multitasked by organizing food and talking with others.,"{""DAY4_11100000_11150000"": [""SHURE"", ""TASHA"", ""KATRINA"", ""ALICE"", ""JAKE""], ""DAY5_19550000_20000000"": [""KATRINA"", ""SHURE"", ""JAKE"", ""LUCIA"", ""ALICE""]}"
